system_prompt,question
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","Select from the following.
 a). Find a location where you can put your cricket bat. Cricket bats must be completely level on its length as well..
 and safety gear for the wicket-keeper. Stumps and bails are wooden pieces that are assembled to create the wicket, one of the most important objects in cricket..
 you will need two pairs of two wooden sticks. The poles should be long enough to submerge the feet with each player being required..
 you should select a certain player that can play with your equipment. Modern cricket indicates offering 2 players, and players are allowed 14 bails..Choose from options above and answer: What most naturally follows?

How to play cricket 
Acquire equipment. 
 6 stumps , 4 bails , 2 cricket bats and 1 ball are required.
Answer:"
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","How do you say ""Whilst preserving the criminal jurisprudence from the first ICCs, the International Criminal Court differs greatly from these first ad hoc ICCs."" in Spanish?"
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","Summarize this article:

 the England fast bowler reached three figures off 164 balls, having hit nine fours and a six.
 caught off Graham Napier for 131, was last man out as Sussex were bowled out for 448, a lead of 90.
 caught at square leg off Jordan, to end on 163-4, with a lead of 73 runs going into the final day.
 when he shared a 179-run sixth-wicket stand with Mike Yardy to help Sussex to a nine-wicket win.

Summary:"
,"Question: Information:  - The Pakistan Armed Forces (""Musallah Afwaj-e-Pakistan"") are the military forces of Pakistan. They are the sixth largest in the world in terms of active military personnel and the largest among Muslim countries. The armed forces comprise three main service branches  Army, Navy, and Air Force  together with a number of paramilitary forces and the Strategic Plans Division Force. Chain of command of the military is organized under the Chairman of Joint Chiefs of Staff Committee (JCSC) alongside chiefs of staff of the army, navy, and air force. All of the branches work together during operations and joint missions under the Joint Staff Headquarters (JS HQ).  - China, officially the People's Republic of China (PRC), is a unitary sovereign state in East Asia. With a population of over 1.381 billion, it is the world's most populous country. The state is governed by the Communist Party of China, and its capital is Beijing. It exercises jurisdiction over 22 provinces, five autonomous regions, four direct-controlled municipalities (Beijing, Tianjin, Shanghai, and Chongqing), and two mostly self-governing special administrative regions (Hong Kong and Macau), and claims sovereignty over Taiwan. The country's major urban areas include Shanghai, Guangzhou, Beijing, Chongqing, Shenzhen, Tianjin and Hong Kong. China is a great power and a major regional power within Asia, and has been characterized as a potential superpower.  - Test cricket is the longest form of the sport of cricket and is considered its highest standard. Test matches are played between national representative teams with ""Test status"", as determined by the International Cricket Council (ICC). The two teams of 11 players play a four-innings match, which may last up to five days (or longer in some historical cases). It is generally considered the most complete examination of teams' playing ability and endurance. The name ""Test"" stems from the long, gruelling match being a ""test"" of the relative strengths of the two sides.  - Jhelum (Urdu) is a city on the right bank of the Jhelum River, in the district of the same name in the north of Punjab province, Pakistan. Jhelum is known for providing a large number of soldiers to the British Army before independence and later to the Pakistan armed forces due to which it is also known as city of soldiers or land of martyrs and warriors. Jhelum is a few miles upstream from the site of the Battle of the Hydaspes between the armies of Alexander of Macedonia and Raja Porus. A city called Bucephala was founded nearby to commemorate the death of Alexander's horse, Bucephalus. Other notable sites nearby include the 16th-century Rohtas Fort, the Tilla Jogian complex of ancient temples, and the 16th-century Grand Trunk Road which passes through the city. According to the 1998 census of Pakistan, the population of Jhelum was 145,647 and in 2012 its population is 188,803. The name of the city is derived from the words Jal (pure water) and Ham (snow), as the river that flows through the river originates in the Himalayas. There are a number of industries in and around Jhelum city, including a tobacco factory, wood, marble, glass and flour mills.  - Pakistan (or ), officially the Islamic Republic of Pakistan, is a federal parliamentary republic in South Asia on crossroads of Central Asia and Western Asia. It is the sixth-most populous country with a population exceeding 200 million people. It is the 36th largest country in the world in terms of area with an area covering . Pakistan has a coastline along the Arabian Sea and the Gulf of Oman in the south and is bordered by India to the east, Afghanistan to the west, Iran to the southwest and China in the far northeast respectively. It is separated from Tajikistan by Afghanistan's narrow Wakhan Corridor in the north, and also shares a maritime border with Oman.  - Zamir Jaffri Cricket Stadium is a cricket stadium in Jhelum , Pakistan . It is named after Jhelumi poet Syed Zamir Jafri . It was a local district - level stadium , but now the Pakistan Cricket Board has upraised it for regional level events . Six extra cricket pitches have been constructed .  - The Pakistan Cricket Board is a sporting organization that is responsible for governing all professional cricket, including Test cricket and One Day International matches played in Pakistan. It controls and organises all tours and matches undertaken by the Pakistan national cricket team.    What object entity has the relation of 'occupant' with the subject 'zamir jaffri cricket stadium'?   Choices: - chiefs  - communist party of china  - pakistan national cricket team  - sport
Answer:"
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","An eight-year-old boy has left doctors baffled after his hands swelled to giant proportions and now weigh more than two stone. Young Kaleem, from India, is unable to carry out simple tasks, including tying his own shoe laces, after he was born with hands twice the size of an average baby. His mother Haleema, 27, said she knew he was different at birth but was powerless to help and the youngster's hands have now grown so large they measure 13 inches from the base of his palm to the end of his middle finger. Scroll down for video. Kaleem, from India, was born with hands twice the size of an average baby and they have continued to grow. His hands now measure 13 inches from the base of his palm to the tip of his middle finger and weigh two stone. The eight-year-old claims he is bullied because of his giant hands and has difficulty performing simple tasks. The cricket fan said he has been bullied and shunned most of his life because others are 'scared' of his deformity. He said: 'I do not go to school because the teacher says other kids are scared of my hands. 'Many of them used to bully me for my deformity. They would say ""let's beat up the kid with the large hands"". 'Some of them have actually beaten me and would go after me often. 'I find it difficult to put on my clothes, button my shirt and pull up my pants. 'But I don't know if I want doctors to operate on my hands. They would have to make me unconscious and then they would cut me open. 'I have no problem if they could do it without an injection. A small operation would be okay.' His parents, who earn just £15 a month, have been desperately trying to find help for their son - but to no avail. His mother Haleema, 27, (pictured with Kaleem and another one of her children) said she feels 'powerless' Kaleem, a keen cricketer, said the teachers at his school have told him other children are 'scared' of his hands. He has found it difficulty to play cricket and hold a bat due to his condition but tries to still join in with his friends. His mother, who has other children who do not suffer from the same condition, said: 'When Kaleem was born his hand was twice the size of a normal baby's. 'His hands were big and his fingers were long. Initially his fists were small but they began to grow large as well and his fingers also kept growing.' His father, Shamim, 45, who works as a labourer, is worried his son will never be independent and blames himself for not earning enough money. 'He has difficulty feeding himself because his fist does not bend properly - so we have to feed him,' he said. 'Using two fingers he is able to pick up some things like a glass of water to drink. 'We want to take him to the hospital but there have been times when money has been so low that my wife has been forced to go begging. 'In that kind of financial situation, getting treatment for Kaleem was difficult. 'Even when I tried to get Kaleem into the school, the headmaster told me to put in writing that the school would not be responsible if the other children were afraid of his hands or bullied him or laughed at him.' Doctors in India have been left baffled by his growing hands and many are at a loss as to what the condition is. The youngster has difficulty eating, tying his shoelaces and carrying out other basic tasks due to his  hands. Kaleem's father Shamim, 45, (pictured together above) is worried his son will never become independent. The couple have only just been able to take their son to a local doctor for an assessment but their hopes of an instant cure have been dashed. Dr Ratan, the director of the local hospital, said: 'As far as my knowledge goes, this is an extremely rare condition. 'I have not seen a case in medical journals or on the internet where only the hands grew to such a large size. 'Until we have done proper genetic testing we will not be able to say exactly what is causing this deformity.' He said that apart from the unsightly growths, Kaleem is in good health - with properly functioning lungs and heart. Doctors have assessed Kaleem and have described his hands as a 'rare condition'. He is otherwise healthy. Kaleem was born with larger-than-average hands but they have continued to grow throughout his childhood. But as his hands continue to grow it may put increased pressure on his cardiovascular system, potentially shortening his life. Elsewhere, Dr Krishan Chugh, head of paediatrics at the state-of-the-art Fortis Memorial Research Institute in Gurgaon, near Delhi, has also been left baffled after reviewing photographs and videos of the boy's hands. However, he believes Kaleem may be suffering from either lymphangioma or hamartoma - which are both treatable. He added: 'This condition looks very rare and I have come across something like this before. Without proper examination and medical tests I am not 100 per cent sure about what this is.' Kaleem's parents are now hoping to raise money for their son in the hope that his condition can be treated. One doctor said he believes the Kaleem may be suffering from either lymphangioma - a condition of the lymphatic system causing extreme inflamation - or hamartoma - a benign tumour - both of which are treatable. Lymphangioma is a condition of the lymphatic system which causes extreme inflammation resulting in doughy masses forming in certain parts of the body. Hamartoma is a benign type of tumour where the body produces excess tissue. After hearing from the doctors, Kaleem's parents now have renewed optimism that something can be done for their son and are doubling their efforts to raise money for him. 'We have tried several places with no solutions so far,' said Shamim. 'But I have a feeling there is a way to get the resources to give my son a normal life.'
Summarize the highlights of this article."
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"Write a sentence about a restaurant with all the following attributes: name = The Cricketers, eatType = coffee shop, food = French, customer rating = 5 out of 5, familyFriendly = yes, near = The Portland Arms"
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"Write a text based on this summary: dumped nz bowler tuffey facing misconduct charge

Text:"
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Select the topic that this about:

Shoaib Akhtar has been charged with level one misconduct for pointing Matthew Hayden towards the dressing room when he trapped him lbw in the first Test at the WACA yesterday."
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","News article: digits: Handy Tips for Apple's Lion OS

This transcript has been automatically generated and may not be 100% accurate.

kg ... all but one analyst is warning in demands that every well ... but how does that work well it's not a thing or not I like going anywhere special KSL Katy Brett joins us now from Washington D C and Katie um it's raining you review your news that guy doesn't want to miss this line of less than it was like take three fingers with them while standing on one leg ... with the other hand with a finger in it um I ... missing something ... and when the guy that ... a lot of readers have email that the NAFTA has landed this one little thing ... I guess it's back to waive the ECB and that in some cases Apple has integrated waste creates two ... referred back to the previous operating system which has both Snow leopard ... if both you and you found if you reference death ... on Sunday so interesting to me ... they really pushing it to the FBI can to get more physically and content in your computer to all the plate ... complicated swiping I don't feel like I wanna be that close with my comes in ... I'm Kelly let's go through some hostas for the swelling has this one is is one of the easy ones and we breed them straight sets to take to bring those on collective thing is ... Opnet ... how to handle a school with my two fingers SLS if the computer has been created we've known how to scroll and added that moving down as I write that down the case but here you're taking your fingers and pushing on ... so at the idea is that you have real difficulty the paper and Freddie and ... I knew pushback caper I'm and I you would naturally read a piece of paper ... it's what you do you want to tap with it on the I pad are other tablet and I'm touchscreen mobile devices like the I pad ... Iraqi and the other hand though it ... something or try to blur the line here like Chile asserted that reference ... they're trying to blur the line between BPCE and the mobile text devices ... that use direct manipulation that says in a way of saying ... it would be a feast Astors The is our ignorance to make things move and make things happen ... the sprawling is a little weird at first you definitely need to take the time to get use to Sperling ... and a contrite be out of your mind for the first ten year high value ... of one mind to the trade union unite so the email ... the the you know if ... that's the thing really brief am now and I think it with much needed at down the lager it looks ... so ... old I think it really looks for something before it now they've taken this very streamlines left can all view of olive your message is that whenever you select ... did it this way and right hand side ... it also built and country stations Permal that are much easier to follow that most of conversation view any now like G mailed for example ... sometimes they get confused in that conversation he is thinking of it if they don't know which message with the first ... was that the latest message these are all number fell twenty three four five it's it's a very simple way of doing and what ... is the founder of the less you should be Julie what came and Buffett recently due to ... a different angle ... one of the county Tommy Tham said ... I wanna tell some of the of the Fullscreen ... yes the anything that you're using up most of the facts can be accent right into full screen view ... in the past had to take a corner of the window and dragged out to Graetz the Fullscreen of the computer ... with the payment but for people who use Windows and the cover to match ... be it for you said that five minute operate corner they could play at the back of my biggest setback with the collapse of the Fullscreen ... well now Apple has helped in this way and putting NEX into Fullscreen ... they basically blown out the app so it looks like it's the only thing running on your whole computer and I think it looks preview of what it is really lets you concentrate on one particular share base after without being distracted by other things the tunes June and the anti death you'd think that it ... was the greatest unwinds knocking a long time ... ten years after the Black Sea Temple Street ... me usually Apple that had so given point that this is one that had been long comeback ... the launch pad to the cleanup launched the visitors they that the opinion of the new test yet this is this is the current really complicated one all with a ... congenial moment three fingers ... I mean it's it's like my son with a finger in your in what some yet exactly that it now and getting a little bit out of it that this plane is that that say ... that your three fingers and your bath and that friend that so that that threat ... there will basically gets the lion's back to pop up on the screen and ten and ... the people at work ... that that that that in a DeGise when it's time went on the hot corner and this is ... when you move your cursor to any foreigner the screen ... just linger there ... you can dance around that corner to open up a light lunch at ... Chili's brand is essentially ... the exact same screen that you see when you open up the eye pattern I phone ... I did all of these programs represented a tiny little Icahn ... and that they can be whipped around thinking deeply into folders they can be sorted the way you want to see them ... and it's very familiar for people who have I found I had to job easy to do this ... without practicing but practicing using my might to finger my phone on this for free it's great how well how do you well sometimes I ask you then it's like this ... it feels like some healing tilted Ameican can double as its fault you know its offer would do his thing was he feels among natural is that ... the issue of the timidity of ... it's really iam ... of his fund essential ... iTunes right yet but I'm reading it ... I'm thinking this is life ... is like some sort of transcendental yelled I'm ... so very quickly um if you if you give up which is not what we have ... become and ... what we do what's the quick facts about me I cannot get up and that refers to an individual thing activity to be to completely give up you can White deer hole drive and ... start over and sit on and so everything and ... Prince Tuffnell effort but ... Nic and the new operating system takes them time to get this feeling and I think if you look it planned a little bit of a chance ... that you see these new features that it could actually be at first but I think they're pretty fun once again thanks to recoup mental health care there on the company with activity much special pencils Katy Brett with a Wall Street tunnel
What are the most important parts of this news article?"
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"What is a one-sentence summary of the following article?
 oversized scarf on top. The different textures (the canvas jacket against a softer woolen or knit scarf) will add a fun contrast to your outfit. Let the scarf hang down low. Or try tying the scarf in different patterns. Try switching up your military jacket style by pairing it with a thick belt worn at your true waist. This will break up the traditional form of the military jacket and give it a fun new style! Use a belt in a complementary color like hunter green, light brown, or even orange. Try pairing your military jacket with heels or other dress shoes to class it up a bit. Under the military jacket, you can pair dressier shoes with jeans, slacks, or even tights and a cute dress. This is also a fun way to turn your daytime jacket look into a nighttime jacket look. Adding heels (or, for men, nice dress shoes) adds a more formal flare/style. Try carrying a more petite handbag with your military jacket outfit. This will add a nice contrast to the larger size of your bulky military jacket. Try a small handbag with a long chain shoulder strap or a dainty little bowler bag with no over-the-shoulder straps, just handles. Avoid large cross-body bags, as the military jacket is already relatively bulky. Hats are a great way to spice up any outfit. If you want to dress your military jacket down, try wearing a beanie hat for a casual, more relaxed look. If you want to class it up a bit, wear a fedora hat with the outfit. You can even wear a panama hat to add some edgy contrast to the outfit. Try playing on the military tradition a bit by adding your own funky version of military stripes. Add some cute and exciting pins to the breast of your military jacket, or down the sleeve, to give it a little something extra. Add colorful pins that really draw attention to the design.

Summary:"
